# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	4.430110575559965806e-04
36	4.430110575559965806e-04
37	4.430110575559965806e-04
38	4.430110575559965806e-04
39	4.430110575559965806e-04
40	4.430110575559965806e-04
41	4.430110575559965806e-04
42	4.430110575559965806e-04
43	4.430110575559965806e-04
44	4.430110575559965806e-04
45	4.430110575559965806e-04
46	4.430110575559965806e-04
47	4.430110575559965806e-04
48	4.430110575559965806e-04
49	4.430110575559965806e-04
50	4.430110575559965806e-04
51	4.430110575559965806e-04
52	4.430110575559965806e-04
53	4.430110575559965806e-04
54	4.430110575559965806e-04
55	4.430110575559965806e-04
56	4.430110575559965806e-04
57	4.430110575559965806e-04
58	4.430110575559965806e-04
59	4.430110575559965806e-04
60	8.860221151119931611e-04
61	8.860221151119931611e-04
62	8.860221151119931611e-04
63	8.860221151119931611e-04
64	8.860221151119931611e-04
65	8.860221151119931611e-04
66	8.860221151119931611e-04
67	8.860221151119931611e-04
68	8.860221151119931611e-04
69	8.860221151119931611e-04
70	8.860221151119931611e-04
71	8.860221151119931611e-04
72	8.860221151119931611e-04
73	8.860221151119931611e-04
74	8.860221151119931611e-04
75	8.860221151119931611e-04
76	8.860221151119931611e-04
77	8.860221151119931611e-04
78	8.860221151119931611e-04
79	8.860221151119931611e-04
80	8.860221151119931611e-04
81	8.860221151119931611e-04
82	8.860221151119931611e-04
83	8.860221151119931611e-04
84	2.215055287779983065e-03
85	1.329033172667989796e-03
86	8.860221151119931611e-04
87	8.860221151119931611e-04
88	8.860221151119931611e-04
89	8.860221151119931611e-04
90	8.860221151119931611e-04
91	1.329033172667989796e-03
92	1.329033172667989796e-03
93	1.329033172667989796e-03
94	9.303232208675928788e-03
95	1.329033172667989796e-03
96	3.544088460447972645e-03
97	8.860221151119931611e-04
98	8.860221151119931611e-04
99	1.329033172667989796e-03
100	1.329033172667989796e-03
101	8.860221151119931611e-04
102	1.240430961156790447e-02
103	2.525163028069180721e-02
104	8.860221151119931611e-04
105	8.860221151119931611e-04
106	8.860221151119931611e-04
107	8.860221151119931611e-04
108	3.544088460447972645e-03
109	8.860221151119931611e-04
110	8.860221151119931611e-04
111	8.860221151119932262e-03
112	1.772044230223986322e-03
113	1.329033172667989796e-03
114	8.860221151119931611e-04
115	3.544088460447972645e-03
116	1.772044230223986322e-03
117	1.329033172667989796e-03
