# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	1.250291261032399591e-02
19	1.761774049636562894e-02
20	2.386919680152762777e-02
21	5.001165044129598364e-02
22	3.296222415449053672e-02
23	6.080962042293943520e-02
24	2.330088259196744574e-02
25	2.159593996328690313e-02
26	3.523548099273125789e-02
27	5.711557806079825550e-01
28	8.837285958660824337e-01
29	5.171659306997652972e-02
30	1.534448365812490431e-02
31	2.483533095777993860e-01
32	3.234276166606993463e+00
33	4.091862308833307815e-02
34	1.875436891548599300e-02
35	1.989099733460635705e-02
36	6.137793463249961723e-02
37	5.796804937513852507e-02
38	2.642661074454844439e+00
39	6.649276251854124853e-02
40	1.136628419120363186e-02
41	7.263055598179121164e-01
42	9.093027352962905485e-03
43	1.818605470592581097e-02
44	1.396689001415102460e+01
45	2.840775407907523942e+01
46	3.807705204053216802e-02
47	3.153575548849447685e+00
48	7.899567512886525311e-02
49	9.945498667303179219e-02
50	1.704942628680545039e-02
51	5.853636358469870710e-02
52	2.614245363976835587e-02
53	7.899567512886525311e-02
54	5.001165044129598364e-02
55	9.661341562523087512e-03
56	2.557413943020817385e-02
57	5.398984990821725782e-02
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	0.000000000000000000e+00
66	0.000000000000000000e+00
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	0.000000000000000000e+00
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	0.000000000000000000e+00
75	0.000000000000000000e+00
76	0.000000000000000000e+00
77	0.000000000000000000e+00
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	0.000000000000000000e+00
81	0.000000000000000000e+00
82	0.000000000000000000e+00
83	0.000000000000000000e+00
84	0.000000000000000000e+00
85	0.000000000000000000e+00
86	0.000000000000000000e+00
87	0.000000000000000000e+00
88	0.000000000000000000e+00
89	0.000000000000000000e+00
90	0.000000000000000000e+00
91	0.000000000000000000e+00
92	0.000000000000000000e+00
93	0.000000000000000000e+00
94	0.000000000000000000e+00
95	0.000000000000000000e+00
96	0.000000000000000000e+00
97	0.000000000000000000e+00
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
101	0.000000000000000000e+00
102	0.000000000000000000e+00
103	0.000000000000000000e+00
104	0.000000000000000000e+00
105	0.000000000000000000e+00
106	0.000000000000000000e+00
107	0.000000000000000000e+00
108	0.000000000000000000e+00
109	0.000000000000000000e+00
110	0.000000000000000000e+00
111	0.000000000000000000e+00
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	0.000000000000000000e+00
